TestID,Platform,GPU,Case,B,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
160,ROCm,Graphics,GPT-OSS-20B-Down,1,1024,2880,2880,bf16,PASS,0.03,510.05,0.51,67.18
161,ROCm,Graphics,GPT-OSS-20B-GateUP,1,2048,5760,2880,bf16,PASS,0.04,1604.04,1.93,70.23
162,ROCm,Graphics,GPT-OSS-20B-Down,1,2048,2880,2880,bf16,PASS,0.03,1012.31,0.98,69.11
163,ROCm,Graphics,GPT-OSS-20B-GateUP,1,4096,5760,2880,bf16,PASS,0.08,1644.14,3.81,71.31
164,ROCm,Graphics,GPT-OSS-20B-Down,1,4096,2880,2880,bf16,PASS,0.04,1645.25,1.92,70.76
165,ROCm,Graphics,GPT-OSS-20B-GateUP,1,8192,5760,2880,bf16,PASS,0.15,1788.92,7.47,72.78
166,ROCm,Graphics,GPT-OSS-20B-Down,1,8192,2880,2880,bf16,PASS,0.08,1640.88,3.76,72.23
167,ROCm,Graphics,GPT-OSS-20B-GateUP,1,16384,5760,2880,bf16,PASS,0.30,1809.74,14.86,73.18
168,ROCm,Graphics,GPT-OSS-20B-Down,1,16384,2880,2880,bf16,PASS,0.15,1766.67,7.48,72.72
169,ROCm,Graphics,GPT-OSS-20B-GateUP,2,512,5760,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
170,ROCm,Graphics,GPT-OSS-20B-Down,2,512,2880,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
171,ROCm,Graphics,GPT-OSS-20B-GateUP,2,1024,5760,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
172,ROCm,Graphics,GPT-OSS-20B-Down,2,1024,2880,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
173,ROCm,Graphics,GPT-OSS-20B-GateUP,2,2048,5760,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
174,ROCm,Graphics,GPT-OSS-20B-Down,2,2048,2880,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
175,ROCm,Graphics,GPT-OSS-20B-GateUP,2,4096,5760,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
176,ROCm,Graphics,GPT-OSS-20B-Down,2,4096,2880,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
177,ROCm,Graphics,GPT-OSS-20B-GateUP,2,8192,5760,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
178,ROCm,Graphics,GPT-OSS-20B-Down,2,8192,2880,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
179,ROCm,Graphics,GPT-OSS-20B-GateUP,2,16384,5760,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
180,ROCm,Graphics,GPT-OSS-20B-Down,2,16384,2880,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
181,ROCm,Graphics,GPT-OSS-20B-GateUP,4,512,5760,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
182,ROCm,Graphics,GPT-OSS-20B-Down,4,512,2880,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
